query,intent
asking about for soil test,1. Soil Data
asking about soil testing,1. Soil Data
asking for soil test and address,1. Soil Data
query regarding use of npk 15-15-15 in banana,1. Soil Data
asking about soil type fo cultivation of clilli,1. Soil Data
asking about the soil testing labortory.,1. Soil Data
asking about soil testing,1. Soil Data
query regarding soil testing,1. Soil Data
asking where to go for soil testing,1. Soil Data
soil testing centre,1. Soil Data
soil testing,1. Soil Data
asking about soil testing.,1. Soil Data
asking about the spp of vermicompost.,1. Soil Data
asking about the used of cow dung in paddy cultivation,1. Soil Data
asking whrer to avail soil testing facility,1. Soil Data
asking about the soil testing,1. Soil Data
organic manure for sugarcane,1. Soil Data
asking about soil testing,1. Soil Data
asking application of vermicompost in paddy field,1. Soil Data
asking about the procedure for soil testing .,1. Soil Data
asking about the soil health card,1. Soil Data
asking where to go for vermicompost training,1. Soil Data
asking about the soil testing,1. Soil Data
asking where to go for soil test,1. Soil Data
asking about the soil testing,1. Soil Data
asking about he soil health card,1. Soil Data
query regarding free soil testing,1. Soil Data
asking about the soil testing,1. Soil Data
asking about the npk fertilizer,1. Soil Data
asking for vermicompost training,1. Soil Data
asking about the npk,1. Soil Data
asking about  soil testing,1. Soil Data
asking about dose of npk,1. Soil Data
asking about 2nd application time of tricel 20 ec and npk 19 all,1. Soil Data
asking about soil health card,1. Soil Data
asking about soil health card ,1. Soil Data
"asked about soil health card	",1. Soil Data
"asking regarding soil health card	",1. Soil Data
asking about soil health card ,1. Soil Data
"asking about the benefits of soil health card	",1. Soil Data
asked about soil health card,1. Soil Data
asking about soil health card ,1. Soil Data
asking about soil health card,1. Soil Data
asking about soil health card,1. Soil Data
"asking about soil health card
",1. Soil Data
"asking about correction in soil health card
",1. Soil Data
"asking about use of soil health card 

",1. Soil Data
"asking about soil health card	",1. Soil Data
asked about farmers issue regarding soil health card,1. Soil Data
"query regarding soil health card and kisan credit card
",1. Soil Data
"asking about size of vermicompost tank and training for vermicomposting
",1. Soil Data
"query regarding production of vermicompost
",1. Soil Data
asking about soil test. ,1. Soil Data
"asking about soil test.
",1. Soil Data
asking about soil health test,1. Soil Data
asked about remedie for oxygen depeltion in fish pond and cow dung application ,1. Soil Data
asking about the soil testing ,1. Soil Data
asking about how to improve fertility status of soil.,1. Soil Data
"asking for the soil testing laboratory phone number of guwahati office, assam.",1. Soil Data
asking about the vermicompost production method.,1. Soil Data
asking about soil testing,1. Soil Data
asking about fertility management of mango plant.,1. Soil Data
asking about the improvement of soil fertility in paddy field.,1. Soil Data
asking for soil test,1. Soil Data
asked about the procedure of soil testing,1. Soil Data
asking about where to go for soil test,1. Soil Data
asking about for soil testing,1. Soil Data
asking about soil testing,1. Soil Data
asking about the soil testing.,1. Soil Data
asking about method of soil testing,1. Soil Data
soil testing in berpeta,1. Soil Data
asking about advantage of vermicompost,1. Soil Data
asking about the soil test,1. Soil Data
asking about soil testing,1. Soil Data
asking about soil condition for ber cultivation,1. Soil Data
asking about the quantity of vermicompost to be applied per bigha in sali paddy.,1. Soil Data
asking about the soil health card,1. Soil Data
asking about the soil testing,1. Soil Data
asking for place of soil testing,1. Soil Data
asking about the information for soil testing,1. Soil Data
asking about the soil testing,1. Soil Data
query regarding requirement of organic manure.,1. Soil Data
asking about the soil testing process,1. Soil Data
asking about the size of the vermicompost tank,1. Soil Data
query regarding boro dhan cultivation & soil testing,1. Soil Data
asking about soil health card letter the farmer has receiveed,1. Soil Data
asking about soil health card,1. Soil Data
asking about application of cow dung in pond,1. Soil Data
asking about vermicompost production method,1. Soil Data
asked about fertilizer dosages and soil health card for cucumber culture,1. Soil Data
asking about nutrient management for improve yield in pumpkin npk all @ ,1. Soil Data
asking about the doses of npk 19 all,1. Soil Data
asking about the doses of npk 19 all,1. Soil Data
regarding the application of npk 19 all,1. Soil Data
asked what type of organic manure applied in fish pond..,1. Soil Data
asking about the procedure of  preparation of vermicompost.,1. Soil Data
asking about npk application,1. Soil Data
querry regarding soil testing,1. Soil Data
asking about soil testing,1. Soil Data
query regarding soil testing procedure,1. Soil Data
asking about soil testing,1. Soil Data
soil testing & about sali rice variety,1. Soil Data
soil colection method for sample for soil testing,1. Soil Data
wanted to know the place for soil testing in darrang district of assam,1. Soil Data
asking about where to do soil test,1. Soil Data
query regarding soil testing,1. Soil Data
asking about vermicompost.,1. Soil Data
want to know regarding vermicompost production,1. Soil Data
asking about the soil health card,1. Soil Data
asking about the availability of earthworm for vermicompost.,1. Soil Data
asking about the soil health card,1. Soil Data
query regarding npk dose,1. Soil Data
query regarding materials for vermicompost preparation.,1. Soil Data
asking about the procedure for preparing vermicompost,1. Soil Data
query regarding vermicompost,1. Soil Data
asking about preparation of vermicompost,1. Soil Data
asking for applying soil health card,1. Soil Data
asking about npk dose and price,1. Soil Data
asking about soil testing ,1. Soil Data
asking about soil health card,1. Soil Data
asking about improper growth of crop due to deterioration of soil fertility,1. Soil Data
query regarding nutrient management in papaya npk  19:19:19,1. Soil Data
asking about application of borax and npk.,1. Soil Data
regarding dose of npk 19 19 19 in papaya,1. Soil Data
farmer asking query regarding soil testing.,1. Soil Data
asking about the point of purchase of vermicompost in small quantity.,1. Soil Data
asking that  how to identify the vermicompost is ready for used.,1. Soil Data
asking about the soil testing.,1. Soil Data
asking that what is vermicompost and what are its uses ?,1. Soil Data
asking about the method for vermicompost.,1. Soil Data
asking in details of vermicompost,1. Soil Data
asking about the use of of vermicompost in tea garden,1. Soil Data
soil testing,1. Soil Data
asked about liming and application of cow dung,1. Soil Data
asking about the organic manure,1. Soil Data
asking about where to avail training on vermicompost,1. Soil Data
query regarding soil testing for tea cultivation,1. Soil Data
asking that how to do soil testing,1. Soil Data
query regarding soil testing,1. Soil Data
asking about cultivation of vermicompost,1. Soil Data
query regarding methods of vermicompost,1. Soil Data
askibng about the soil testing,1. Soil Data
centre for soil testing,1. Soil Data
asking about soil testing.,1. Soil Data
asking about details about vermicompost,1. Soil Data
query regarding soil testing for tea plantation,1. Soil Data
asking about the collection of soil for soil testing,1. Soil Data
asking where to go for soil test,1. Soil Data
querry regarding soil health card,1. Soil Data
query regarding soil health card,1. Soil Data
asking about the soil testing method,1. Soil Data
want to know regarding production of vermicompost,1. Soil Data
query regarding soil test,1. Soil Data
asking about soil test,1. Soil Data
query regarding soil testing,1. Soil Data
query regarding soil testing,1. Soil Data
query regarding soil testing,1. Soil Data
asking about the  application of organic manure,1. Soil Data
asking about the vermicompost prepation,1. Soil Data
query regarding soil testing.,1. Soil Data
query regarding soil testing.,1. Soil Data
askingf about vermicompost,1. Soil Data
asking about soil health card,1. Soil Data
asking about training for vermicompost production,1. Soil Data
asking about soil testing,1. Soil Data
asking about soil testing,1. Soil Data
aking about soil testing,1. Soil Data
"asking about sowing time and soil type
",1. Soil Data
"asking about dose f zinc sulphate and npk
",1. Soil Data
asking about control of fungal infection and dose of npk all in pointed gourd ,1. Soil Data
"asking about soil testing
",1. Soil Data
"asking whether npk 20 and tresel can be mixed together for applying
",1. Soil Data
"asking about the dose of npk 19 all

",1. Soil Data
"query regarding application  of vermicompost in paddy
",1. Soil Data
query regarding how and when to use the npk 19:19:19 folier spray.,1. Soil Data
query regarding how to apply vermicompost in spine gourd plant. ,1. Soil Data
farmer asking about vermicompost use in pea.,1. Soil Data
farmer asking query regarding use of vermicompost in pea.,1. Soil Data
asking  about vermicompost process.,1. Soil Data
asking about soil testing under govt. scheme.,1. Soil Data
asking that what is vermicompost and what are its uses?,1. Soil Data
asking for soil testing,1. Soil Data
asking about the soil test.,1. Soil Data
asking about the vermicompost preparation,1. Soil Data
asking about the soil testing.,1. Soil Data
asking about soil testing lab adress,1. Soil Data
asking for soil test,1. Soil Data
want to know about soil testing,1. Soil Data
asking where to go for soil test,1. Soil Data
asking about soil test.,1. Soil Data
query regarding soil testing,1. Soil Data
query regarding soil testing,1. Soil Data
asking about soil testing.,1. Soil Data
asking about soil testing,1. Soil Data
asking about the soil type for pudina cultivation,1. Soil Data
query regarding soil testing,1. Soil Data
asking about the vermicompost technology .,1. Soil Data
asking about the procedure to obtain soil health card .,1. Soil Data
query regarding soil testing,1. Soil Data
query regarding soil health card,1. Soil Data
query regarding soil health card,1. Soil Data
asking about the soil testing,1. Soil Data
asking about the soil testing methodolgy,1. Soil Data
asking about soil testing kit availability,1. Soil Data
asking about the vermicompost preparation,1. Soil Data
asking about the soil health cards,1. Soil Data
query regarding fertility management for rice crop.,1. Soil Data
asking about the application of irrigation water in mustard in 2-3 leaf stage in dry soil condition,1. Soil Data
farmer want to know information about collection of soil sample for soil testing?,1. Soil Data
asking about soil testing,1. Soil Data
query regarding soil testing.,1. Soil Data
want to know where to get vermicompost at bulk quantity,1. Soil Data
"wanted to know the adress of kvk nagaon, assam for soil testing",1. Soil Data
asking about soil health card,1. Soil Data
asking regarding soil health card,1. Soil Data
asking about advantage of soil health card.,1. Soil Data
asking about the soil testing procedure,1. Soil Data
asking about soil testing.,1. Soil Data
"asking about soil testing and contact no of kvk, nagaon.",1. Soil Data
asking about soil testing ,1. Soil Data
asking  regarding soil testing,1. Soil Data
asking about pit mixture for mango,1. Soil Data
asking about soil testing,1. Soil Data
"asking whether the farmer can apply dry cow dung or not in arecanut
",1. Soil Data
asking about soil health card,1. Soil Data
"asked about cow dung dosage and stocking density of fish spawn for 2 kotha pond area
 ",1. Soil Data
asking about foliar spray of npk all and sagarika in pumpkin ,1. Soil Data
"asking about kisan credit card and soil health card

",1. Soil Data
"asking about dose of npk for soil application.
",1. Soil Data
"asking about dose of npk 19 all
",1. Soil Data
"asking about application of npk after application of urea, ssp and mop.",1. Soil Data
query regarding soil testing,1. Soil Data
asking about soil health card.,1. Soil Data
asking regarding procurement of soil health card,1. Soil Data
query regarding soil testing.,1. Soil Data
query regarding soil testing.,1. Soil Data
asking for soil testing ,1. Soil Data
regarding eisenia fetida earthworm procurement for vermicompost production,1. Soil Data
regarding soil testing for maize,1. Soil Data
farmer asking query regarding vermicompost production.,1. Soil Data
farmer asked a query regarding soil test.,1. Soil Data
asking that how to go for the production of vermicompost in large scales.,1. Soil Data
asking about the soil testing of his land.,1. Soil Data
asking about rates of vermicompost.,1. Soil Data
asking about the preparation of vermicompost.,1. Soil Data
asking about soil testing purpose,1. Soil Data
asking about the soil testing.,1. Soil Data
asking about the utilization of npk.,1. Soil Data
asking about fertility management in rice seedling,1. Soil Data
asking about the vermicompost making process,1. Soil Data
asking about the use of vermicompost in flower,1. Soil Data
asking about vermicompost prepartion,1. Soil Data
asking about vermicompost production procedure,1. Soil Data
process of vermicompost,1. Soil Data
query regarding soil testing,1. Soil Data
asking method of soil testing,1. Soil Data
asking about the cultivation practice of vermicompost.,1. Soil Data
asking for npk use in potato and control of rotting in cauliflower seedlings,1. Soil Data
asking about soil testing for tea grow,1. Soil Data
asking about the vermicompost.,1. Soil Data
asking about soil testing procedure  for cultivation.,1. Soil Data
asking about soil testing.,1. Soil Data
asking about the soil testing,1. Soil Data
asking information about soil health card,1. Soil Data
query regarding soil testing,1. Soil Data
querry regarding soil testing,1. Soil Data
asking about the fertility management in paddy in dry  condition,1. Soil Data
asking about the process of vermicompost,1. Soil Data
asking about the procedure for preparation of vermicompost,1. Soil Data
asking where to soil test ,1. Soil Data
asking about npk dose and malathion 50 ec,1. Soil Data
asking about dose of npk,1. Soil Data
asking about preparation of vermicompost,1. Soil Data
asking about use of vermicompost as feed,1. Soil Data
"asking about npk 19 all dose
",1. Soil Data
"asking about vermicompost availability 

",1. Soil Data
"asked about kisan credit card and soil health card
",1. Soil Data
"asking about soil health card 
",1. Soil Data
query regarding vermicompost application in tea,1. Soil Data
asking about soil health cad.,1. Soil Data
asked about soil testing,1. Soil Data
asking that how to collect soil sample for soil testing,1. Soil Data
asking that what is vermicompost and what are its uses?,1. Soil Data
asking about soil testing,1. Soil Data
asking about npk,1. Soil Data
asking for soil testing,1. Soil Data
asking about the vermicompost making process,1. Soil Data
asking about the soil testing procedure for tea planting,1. Soil Data
asking about the soil testing.,1. Soil Data
asking about vermicompost,1. Soil Data
asking about use of vermicompost in rice,1. Soil Data
query reagarding soil testing in tea,1. Soil Data
asking about the soil testing,1. Soil Data
vermicompost production process,1. Soil Data
query regarding soil testing,1. Soil Data
asking for availibility of input materials for vermicompost,1. Soil Data
asking about the cultivation practice of vermicompost.,1. Soil Data
vermicompost production,1. Soil Data
asking the adress of kvk in sivsagar district assam for soil testing,1. Soil Data
asking about vermicompost unit tank size,1. Soil Data
asking about soil testing.,1. Soil Data
asking for soil testing,1. Soil Data
query regarding soil testing,1. Soil Data
asking about application of vermicompost in paddy field,1. Soil Data
soil testing,1. Soil Data
asking about soil test,1. Soil Data
want to know regarding soil testing,1. Soil Data
asking about the procedure for vermicompost production.,1. Soil Data
querry regarding preparation of vermicompost,1. Soil Data
asking about soil testing,1. Soil Data
asking about vermicompost preparation,1. Soil Data
asking about the soil health card,1. Soil Data
query regarding soil health card,1. Soil Data
querry regarding soil health card,1. Soil Data
asking about the procedure obtaining training in vermicompost preparation.,1. Soil Data
query regarding soil testing,1. Soil Data
query regarding soil testing,1. Soil Data
asking about the earthworm species for vermicompost,1. Soil Data
asking about the soil testing process,1. Soil Data
asking about the dose for vermicompost per bigha,1. Soil Data
query regarding preparation of vermicompost.,1. Soil Data
asking about the certification process of vermicompost manure,1. Soil Data
asking about the soil health card,1. Soil Data
query regarding soil testing,1. Soil Data
asking about whether soil testing should be done for farming in 2 bigha of soil,1. Soil Data
asking about the method of preparation of vermicompost and its training.,1. Soil Data
query regarding soil test,1. Soil Data
"asking about the process of raising seedlings of tomato,its variety in rainy season and fertility management.",1. Soil Data
asking about source of vermicompost,1. Soil Data
asking about the vermicompost cultivation,1. Soil Data
asking about soil health card,1. Soil Data
asking for query  regarding soil health card,1. Soil Data
asking about soil testing,1. Soil Data
asking about npk 19 all dose,1. Soil Data
asking about dose regarding npk application,1. Soil Data
asking about vermicompost plantation,1. Soil Data
asking about application of  vermicompost ,1. Soil Data
asking about address for soil testing,1. Soil Data
asking about the production prosse of vermicompost ,1. Soil Data
"query regarding soil health card
",1. Soil Data
"asking about soil testing for tea cultivation

",1. Soil Data
"query regarding vermicompost
",1. Soil Data
"asking about the process of taking soil sample for soil testing
",1. Soil Data
"query regarding issue of soil health card
",1. Soil Data
"asking about measures of  maintaining soil fertility
",1. Soil Data
query regarding from where to get the vermiworm to prepare the vermicompost. ,1. Soil Data
asking about soil test. ,1. Soil Data
a9613856696sking about availability of vermicompost.,1. Soil Data
query regarding dose of npk 19:19:19.,1. Soil Data
asking about soil testing,1. Soil Data
asking for vermicompost rate,1. Soil Data
asking about the soil testing facility in lakhimpur,1. Soil Data
asking about the soil testing method.,1. Soil Data
asked about soil testing,1. Soil Data
want to know about vermicompost,1. Soil Data
asking about preparation of vermicompost,1. Soil Data
asking about making process of vermicompost,1. Soil Data
asking about vermicompost preparation,1. Soil Data
asking about the vermicompost making process,1. Soil Data
asking about vermicompost preperation,1. Soil Data
asking about process of soil testing,1. Soil Data
asking about market price of vermicompost(vermex),1. Soil Data
asking about soil testing,1. Soil Data
asking about the name of book about vermicompost,1. Soil Data
query regarding soil health card,1. Soil Data
asking to know about soil testing(soil health card),1. Soil Data
asking about the soil type for coconut,1. Soil Data
asking about the vermicompost,1. Soil Data
asking about the soil type and fertlizer dose for groundnut,1. Soil Data
query regarding soil testing.,1. Soil Data
query regarding soil testing,1. Soil Data
asking about the process to get soil health card,1. Soil Data
asking about the soil health card,1. Soil Data
query regarding soil type and sowing time of lentil,1. Soil Data
asking about the process to get materials to prepare vermicompost.,1. Soil Data
asking about application of cow dung in pond and eus disease,1. Soil Data
asking about fertilizer dose of npk in hybrid boro rice,1. Soil Data
asking about application dose of vermicompost in okra for organic production,1. Soil Data
asking about vermicompost preparation-,1. Soil Data
asking about vitamin and npk spray,1. Soil Data
asking about soil type and seed rate,1. Soil Data
"asking about varieties, time of planting and soil type of papaya",1. Soil Data
asking about application of npk 12 32 16,1. Soil Data
"asking about dose of npk in cauliflower
",1. Soil Data
asking about soil health card.,1. Soil Data
"asking about dose of npk 19 all 
",1. Soil Data
"asking about the traditional method of vermicompost.
",1. Soil Data
query regarding soil testing for tea cultivation,1. Soil Data
asking about ratio of vermicompost and cocopeat in raising seedling,1. Soil Data
asking for soil testing.,1. Soil Data
asking about soil testing ,1. Soil Data
query regarding training on vermicompost production.,1. Soil Data
"asking about that his upland field has no moisture and fertility at all so he has not got sufficient production of rice from the field, so asked to enhence fertility of the soil.",1. Soil Data
"asking that whom to contact at bvfcl, if he wants to test his soil out there in which a small soil testing unit has been eastablished for the farmers of that locality.",1. Soil Data
asking about the market of vermicompost,1. Soil Data
asking about the market of vermicompost,1. Soil Data
asking about the uses of vermicompost.,1. Soil Data
asking about soil testing places for rice cultivation,1. Soil Data
asking for soil condition,1. Soil Data
querry regarding soil testing,1. Soil Data
asking about preparation method of vermicompost,1. Soil Data
asking about soil testing,1. Soil Data
ask about vermicompost preparation locally,1. Soil Data
asking about for soil testing,1. Soil Data
asking about soil testing,1. Soil Data
asking about vermicompost preparation,1. Soil Data
asking for soil testing,1. Soil Data
query about vermicompost,1. Soil Data
asking about procedure of soil testing,1. Soil Data
asking about the preparation of vermicompost,1. Soil Data
asking about vermicompost preparation,1. Soil Data
asking about the soil testing laboratory.,1. Soil Data
asking about where to avail training on vermicompost,1. Soil Data
asking about vermicompost,1. Soil Data
query regarding training on vermicompost,1. Soil Data
asking about the source for soil testing.,1. Soil Data
asking how to avail benefit for vermicompost unit tank,1. Soil Data
vermicompost dose / bigha,1. Soil Data
asking about soil testing,1. Soil Data
asking about the application of vermicompost in marigold,1. Soil Data
asking about the soil testing,1. Soil Data
query regarding vermicompost size,1. Soil Data
asking about the soil health card,1. Soil Data
asking about soil health card,1. Soil Data
asking about production process of vermicompost,1. Soil Data
asking about the species of the earthworm for preparation  of vermicompost,1. Soil Data
want to know about soil testing,1. Soil Data
asking about the preparation of vermicompost,1. Soil Data
query regarding organic manure,1. Soil Data
asking about vermicompost,1. Soil Data
asking about npk dose for vegetable crops,1. Soil Data
asking about nutrient management in tea and also asking about soil testing,1. Soil Data
asking about npk 19 all dose,1. Soil Data
 query regarding fertility of quail bird ,1. Soil Data
query regarding availability of equipment for vermicompost,1. Soil Data
asked about application of micronutrient. spray npk 19 all. 2 times at 15days interval mixing 10gm in 1 liter of water.,1. Soil Data
"asked about npk dosages in 1 bigha of chilli

",1. Soil Data
"asking about vermicompost tank size and species

",1. Soil Data
query about soil health card.,1. Soil Data
asking about the application of npk 19 all,1. Soil Data
asking for dose of npk,1. Soil Data
asking about soil test,1. Soil Data
asking about soil health card,1. Soil Data
asking that where soil testing can be done in his district,1. Soil Data
asking about where soil testing can be done in his district,1. Soil Data
asking about the soil testing laboratory located in his district.,1. Soil Data
asking about vermicompost preparation,1. Soil Data
query regarding soil health card,1. Soil Data
asking about soil testing,1. Soil Data
asking about soil health card,1. Soil Data
asking about the soil testing procedure in field,1. Soil Data
asking about soil health card,1. Soil Data
"asking about availability of earthworm for vermicompost preparation.,",1. Soil Data
asked about soil health card,1. Soil Data
query regarding where to do soil test. ,1. Soil Data
query regarding soil testing,1. Soil Data
asking about soil testing,1. Soil Data
"asking about the soil testing laboratory located in kamrup district,assam.",1. Soil Data
asking about the method of preparation of vermicompost.,1. Soil Data
asking for the soil type for potato crop cultivation.,1. Soil Data
asking about soil testing,1. Soil Data
asking about where to get facility for soil testing,1. Soil Data
asking about the vermicompost making process,1. Soil Data
asking about the vermicompost preparation,1. Soil Data
asking for the preperation method of vermicompost,1. Soil Data
asking about how get soil testing,1. Soil Data
"wanted to know about soil testing of the pond,",1. Soil Data
asking about vermicompost preparation,1. Soil Data
asking about the vermicompost,1. Soil Data
wanted to know about soil testing,1. Soil Data
wanted to know about vermicompost,1. Soil Data
query about soil testing,1. Soil Data
asking about soil test,1. Soil Data
asking about the vermicompost making process,1. Soil Data
soil testing for papaya cultivation,1. Soil Data
asking where to do soil test,1. Soil Data
asking about the soil testing for dhan.,1. Soil Data
asking for training on vermicompost,1. Soil Data
asking about procedure to establish organic manure industry,1. Soil Data
asking about the procedure for  production of vermicompost unit in commercial basis and its training,1. Soil Data
asking about name of winter flower and npk dose of marigold,1. Soil Data
asking about dose of npk,1. Soil Data
asking about soil health card,1. Soil Data
"asking about fertility management in potato
",1. Soil Data
"asking about fertility management of potato
                                               ",1. Soil Data
asking about vermicompost,1. Soil Data
asking about half rotten vermicompost harvesting.,1. Soil Data
asking about soil health card,1. Soil Data
asking about aeratio in vermicompost tank.,1. Soil Data
asking about source of worm for vermicompost,1. Soil Data
asking about the vermicompost making process,1. Soil Data
asking about the vermicompost and some otther techniques of organic ferming,1. Soil Data
asking about vermicompost preparation,1. Soil Data
asking about the the validity of npk,1. Soil Data
asking about the use of npk(mix)fertilizer in coriander cultivation,1. Soil Data
asking about raw materials for vermicompost,1. Soil Data
asking about the vermicompost making process,1. Soil Data
asking about soil testing.,1. Soil Data
asking about soil testing.,1. Soil Data
asking for soil testing,1. Soil Data
soil testing,1. Soil Data
asking about soil testing for bhut jalakia cultivation.,1. Soil Data
asking about the method for soil testing,1. Soil Data
asking about use of vermicompost in field,1. Soil Data
asking about soil testing .,1. Soil Data
want to know about soil testing,1. Soil Data
want to know regarding soil health card,1. Soil Data
asking about the procedure for obtaining soil health card.,1. Soil Data
asking about the cultivation of new variety ber in the soil and want to test their soil condition,1. Soil Data
asking about the soil health card,1. Soil Data
asking about the soil health card,1. Soil Data
asking about the procedure for soil testing.,1. Soil Data
query regarding soil testing for growing tea plants.,1. Soil Data
asking for how to avail soil health card,1. Soil Data
asking about the soil testing procedure,1. Soil Data
asking about soil health card,1. Soil Data
query regarding vermicompost,1. Soil Data
asking about the production practice of vermicompost,1. Soil Data
query regarding vermicompost application,1. Soil Data
asking for soil test,1. Soil Data
asking about the soil testing,1. Soil Data
asking about source of vermicompost,1. Soil Data
asking about npk 19 all dose,1. Soil Data
asking for the dose of npk 19: 19: 19 ,1. Soil Data
asking about the vermicompost preparation method,1. Soil Data
query regarding distribution of soil health card,1. Soil Data
asking about soil testing,1. Soil Data
asking about dose of tracel and npk 19 all,1. Soil Data
asking about soil testing,1. Soil Data
asking about soil health card,1. Soil Data
asking about soil health card,1. Soil Data
"asking about soil health card	",1. Soil Data
asking about soil health card.,1. Soil Data
query regarding correction in soil health card,1. Soil Data
asked about the parameters of soil health card,1. Soil Data
"asking about soil health card 

",1. Soil Data
asking about soil health card,1. Soil Data
"asking about soil health card
there are 12 soil related parameters on the basis of which fertilizer can be applied in soil",1. Soil Data
"asking about soil health card
",1. Soil Data
asking regarding soil health card,1. Soil Data
"asking about soil health card.
",1. Soil Data
"asking about soil health card.
",1. Soil Data
"query regarding soil health card
",1. Soil Data
asking about soil health card,1. Soil Data
"asking about soil health card

",1. Soil Data
"asking about issue related to soil health card.
",1. Soil Data
"asking about soil health card and source of application for kcc lan
",1. Soil Data
asking about dose of npk ,1. Soil Data
asking about soil health acrd,1. Soil Data
asking procedure of vermicompost,1. Soil Data
asking where to go for soil test,1. Soil Data
asking about  soil testing.,1. Soil Data
querry regarding availing soil health card,1. Soil Data
asking about soil health card,1. Soil Data
"asking about soil testing
dr. chinmoy sarma: 9957130225",1. Soil Data
asking about soil health issues,1. Soil Data
asking about soil testing facilties,1. Soil Data
asking about the information regarding soil testing laboratory.,1. Soil Data
asking about how to collect soil sample for soil test.,1. Soil Data
asking about the soil testing .,1. Soil Data
asking about to soil test lab,1. Soil Data
query regarding vermicompost production,1. Soil Data
methods of preparation of vermicompost,1. Soil Data
asking about for vermicompost preparation.,1. Soil Data
asking about  soil testing.,1. Soil Data
query regarding soil testing,1. Soil Data
asking about the soil testing method,1. Soil Data
asking about the  earth worm species for vermicompost preparation,1. Soil Data
query regarding production of vermicompost.,1. Soil Data
asking about the soil testing in dhemaji dist,1. Soil Data
use of the species of earthworm in vermicompost,1. Soil Data
asking about the fertility magaement of citrus,1. Soil Data
asking about doses of npk powder,1. Soil Data
"asking about soil testing
",1. Soil Data
"asking about foliar spray of npk all
",1. Soil Data
asking for kvk dehmajis number for soil test,1. Soil Data
"asking about recomended dose of npk?
",1. Soil Data
asking for schemes under vermicompost,1. Soil Data
asking about the dose of npk 20 all.,1. Soil Data
asking about the problem of soil testing.,1. Soil Data
centre for soil testing,1. Soil Data
asking about the soil testing  cetre,1. Soil Data
asking about the soil testing,1. Soil Data
asking about vermicompost prepartion,1. Soil Data
asking about soil testing .,1. Soil Data
asking tank size of vermicompost,1. Soil Data
asking where to go for soil test,1. Soil Data
asking about procedure of soil testing,1. Soil Data
query regarding soil testing,1. Soil Data
asking about source of eluceina foteida for vermicompost.,1. Soil Data
asking about soil testing,1. Soil Data
asking about the vermicompost,1. Soil Data
query regarding training on vermicompost,1. Soil Data
